round, random_action, action, bestAction, profit, whitenoise, estimated_profit
281, 0.447561, 0.454986, 0.319055, 0.504822, 0.271900, 0.558150
282, 0.144842, 0.905454, 0.356895, 0.559518, 0.271800, 0.554632
283, 0.668164, 0.838260, 0.291479, 0.823337, 0.271700, 0.556006
284, 0.978433, 1.000000, 0.252696, 0.276530, 0.271600, 0.553199
285, 0.100160, 0.736476, 0.362480, 0.336702, 0.271500, 0.554945
286, 0.892528, 0.655999, 0.263434, 0.868019, 0.271400, 0.557841
287, 0.379933, 0.383340, 0.327508, 0.428316, 0.271300, 0.559482
288, 0.863677, 0.853197, 0.267040, 0.649619, 0.271200, 0.555293
289, 0.328247, 1.000000, 0.333969, 0.113602, 0.271100, 0.552723
290, 0.042457, 0.720353, 0.369693, 0.738990, 0.000000, 0.556677
291, 0.591465, 1.000000, 0.301067, 0.797953, 0.270900, 0.554831
292, 0.275281, 0.780967, 0.340590, 0.550973, 0.270800, 0.555463
293, 0.387245, 0.888108, 0.326594, 0.701977, 0.270700, 0.555216
294, 0.003288, 0.851119, 0.374589, 0.645798, 0.270600, 0.555294
295, 0.912981, 1.000000, 0.260877, 0.830593, 0.270500, 0.555054
296, 0.839095, 0.398171, 0.270113, 0.428258, 0.270400, 0.559229
297, 0.590163, 0.729746, 0.301230, 0.426545, 0.270300, 0.555347
298, 0.988232, 0.880155, 0.251471, 0.476404, 0.270200, 0.554526
299, 0.211827, 0.934603, 0.348522, 0.111033, 0.270100, 0.553041
300, 0.559333, 0.720163, 0.305083, 0.808891, 0.000000, 0.556962
301, 0.508080, 0.802556, 0.311490, 0.558816, 0.269900, 0.555337
302, 0.366404, 0.251380, 0.329200, 0.416695, 0.269800, 0.561643
303, 0.407917, 0.631794, 0.324010, 0.721303, 0.269700, 0.557424
304, 0.045647, 1.000000, 0.369294, 0.493403, 0.269600, 0.553832
305, 0.170014, 0.012660, 0.353748, 0.030902, 0.269500, 0.564701
306, 0.978346, 1.000000, 0.252707, 0.691655, 0.269400, 0.554411
307, 0.659805, 0.580651, 0.292524, 0.416303, 0.269300, 0.556422
308, 0.637104, 0.357246, 0.295362, 0.483980, 0.269200, 0.559837
309, 0.127008, 0.535216, 0.359124, 0.576456, 0.269100, 0.557681
310, 0.296205, 0.720025, 0.337974, 0.859795, 0.000000, 0.557169
311, 0.081686, 0.865522, 0.364789, 0.701614, 0.268900, 0.555379
312, 0.709058, 0.785398, 0.286368, 0.881948, 0.268800, 0.556660
313, 0.447010, 1.000000, 0.319124, 0.242452, 0.268700, 0.553099
314, 0.205992, 0.646967, 0.349251, 0.678806, 0.268600, 0.557084
315, 0.270145, 0.929449, 0.341232, 0.724281, 0.268500, 0.554992
316, 0.934152, 0.616808, 0.258231, 0.769077, 0.268400, 0.557800
317, 0.695108, 0.917771, 0.288111, 0.176141, 0.268300, 0.553332
318, 0.947966, 0.613011, 0.256504, 0.551132, 0.268200, 0.556803
319, 0.112897, 0.808026, 0.360888, 0.293571, 0.268100, 0.554340
320, 0.780719, 0.720002, 0.277410, 0.868262, 0.000000, 0.557204
321, 0.160019, 0.752760, 0.354998, 0.447742, 0.267900, 0.555271
322, 0.876817, 0.607679, 0.265398, 0.822708, 0.267800, 0.558153
323, 0.256845, 0.475996, 0.342894, 0.464569, 0.267700, 0.557832
324, 0.095452, 1.000000, 0.363069, 0.619296, 0.267600, 0.554199
325, 0.184340, 0.882729, 0.351957, 0.837923, 0.267500, 0.555704
326, 0.201716, 0.485641, 0.349785, 0.746422, 0.267400, 0.559250
327, 0.453942, 0.626208, 0.318257, 0.806696, 0.267300, 0.557877
328, 0.165010, 0.501442, 0.354374, 0.644843, 0.267200, 0.558446
329, 0.315156, 1.000000, 0.335606, 0.695825, 0.267100, 0.554423
330, 0.897184, 0.720332, 0.262852, 0.746852, 0.000000, 0.556709
331, 0.467596, 0.872756, 0.316550, 0.259865, 0.266900, 0.553849
332, 0.706261, 0.862879, 0.286717, 0.580031, 0.266800, 0.554988
333, 0.618774, 0.646883, 0.297653, 0.539054, 0.266700, 0.556455
334, 0.864573, 0.744350, 0.266928, 0.553626, 0.266600, 0.555744
335, 0.726349, 0.568518, 0.284206, 0.473002, 0.266500, 0.556813
336, 0.504099, 0.823314, 0.311988, 0.430197, 0.266400, 0.554734
337, 0.324449, 1.000000, 0.334444, 0.413251, 0.266300, 0.553598
338, 0.647400, 0.884827, 0.294075, 0.667969, 0.266200, 0.555128
339, 0.158069, 1.000000, 0.355241, 0.293833, 0.266100, 0.553249
340, 0.600904, 0.720075, 0.299887, 0.841156, 0.000000, 0.557093
341, 0.288225, 0.795618, 0.338972, 0.535624, 0.265900, 0.555301
342, 0.745492, 0.599677, 0.281814, 0.755803, 0.265800, 0.557918
343, 0.195739, 0.855632, 0.350533, 0.387348, 0.265700, 0.554381
344, 0.617997, 0.813617, 0.297750, 0.798041, 0.265600, 0.556115
345, 0.480395, 0.847775, 0.314951, 0.484965, 0.265500, 0.554765
346, 0.050932, 0.431867, 0.368634, 0.595930, 0.265400, 0.559040
347, 0.309970, 0.636227, 0.336254, 0.888923, 0.265300, 0.558148
348, 0.746107, 0.553601, 0.281737, 0.730213, 0.265200, 0.558301
349, 0.308499, 0.366702, 0.336438, 0.464639, 0.265100, 0.559709
350, 0.710410, 0.720321, 0.286199, 0.750850, 0.000000, 0.556726
351, 0.320343, 0.469125, 0.334957, 0.528290, 0.264900, 0.558129
352, 0.486178, 0.877689, 0.314228, 0.676025, 0.264800, 0.555205
353, 0.326399, 1.000000, 0.334200, 0.428185, 0.264700, 0.553642
354, 0.848317, 0.835460, 0.268960, 0.698083, 0.264600, 0.555591
355, 0.545508, 0.684560, 0.306812, 0.446426, 0.264500, 0.555753
356, 0.980409, 0.802483, 0.252449, 0.568108, 0.264400, 0.555371
357, 0.240410, 0.788017, 0.344949, 0.291276, 0.264300, 0.554451
358, 0.602040, 0.702643, 0.299745, 0.792993, 0.264200, 0.557059
359, 0.371595, 0.929044, 0.328551, 0.417971, 0.264100, 0.554033
360, 0.599120, 0.720424, 0.300110, 0.712953, 0.000000, 0.556571
361, 0.966186, 0.821125, 0.254227, 0.519108, 0.263900, 0.555064
362, 0.227094, 1.000000, 0.346613, 0.028178, 0.263800, 0.552474
363, 0.836475, 0.301795, 0.270441, 0.545574, 0.263700, 0.560785
