round, random_action, action, bestAction, profit, whitenoise, estimated_profit
32065, 0.001635, 0.535135, 0.374796, 0.458803, 0.107610, 0.450685
32066, 0.281934, 0.667581, 0.339758, 0.925269, 0.107604, 0.862963
32067, 0.975147, 0.648379, 0.253107, 0.767955, 0.107598, 0.773654
32068, 0.365275, 0.495497, 0.329341, 0.426895, 0.107592, 0.401885
32069, 0.578273, 0.655737, 0.302716, 0.723087, 0.107586, 0.743013
32070, 0.602184, 0.627951, 0.299727, 0.610068, 0.000000, 0.635099
32071, 0.035632, 0.413741, 0.370546, 0.541426, 0.107574, 0.558690
32072, 0.711478, 0.721382, 0.286065, 0.914715, 0.107568, 0.861463
32073, 0.156721, 0.593441, 0.355410, 0.544798, 0.107562, 0.560945
32074, 0.447352, 0.702801, 0.319081, 0.842001, 0.107556, 0.825238
32075, 0.523321, 0.615659, 0.309585, 0.677907, 0.107550, 0.699520
32076, 0.542642, 0.579217, 0.307170, 0.636292, 0.107544, 0.655924
32077, 0.995842, 0.675972, 0.250520, 0.622691, 0.107538, 0.640956
32078, 0.140791, 0.611916, 0.357401, 0.397912, 0.107532, 0.365595
32079, 0.585174, 0.623627, 0.301853, 0.837716, 0.107526, 0.817433
32080, 0.352256, 0.626438, 0.330968, 0.606575, 0.000000, 0.631284
32081, 0.719894, 0.491964, 0.285013, 0.682115, 0.107514, 0.705998
32082, 0.255687, 0.560231, 0.343039, 0.541390, 0.107508, 0.552456
32083, 0.656870, 0.789791, 0.292891, 0.766578, 0.107502, 0.766232
32084, 0.836416, 0.650012, 0.270448, 0.565026, 0.107496, 0.576650
32085, 0.237573, 0.552021, 0.345303, 0.487408, 0.107490, 0.489084
32086, 0.851130, 0.799133, 0.268609, 0.775266, 0.107484, 0.772473
32087, 0.402658, 0.545457, 0.324668, 0.480891, 0.107478, 0.479552
32088, 0.018382, 0.707537, 0.372702, 0.697082, 0.107472, 0.713277
32089, 0.762880, 0.738806, 0.279640, 0.925974, 0.107466, 0.867943
32090, 0.350416, 0.586806, 0.331198, 0.520061, 0.000000, 0.528924
32091, 0.114272, 0.744517, 0.360716, 0.720041, 0.107454, 0.730655
32092, 0.408975, 0.702362, 0.323878, 0.866834, 0.107448, 0.837688
32093, 0.044276, 0.659635, 0.369465, 0.699079, 0.107442, 0.724135
32094, 0.127990, 0.480450, 0.359001, 0.798677, 0.107436, 0.773398
32095, 0.859050, 0.676830, 0.267619, 0.856388, 0.107430, 0.829810
32096, 0.721431, 0.591975, 0.284821, 0.472100, 0.107424, 0.462114
32097, 0.735663, 0.644295, 0.283042, 0.531532, 0.107418, 0.535672
32098, 0.365438, 0.475322, 0.329320, 0.520356, 0.107412, 0.521086
32099, 0.501830, 0.505139, 0.312271, 0.683741, 0.107406, 0.710205
32100, 0.843892, 0.644531, 0.269514, 0.649423, 0.000000, 0.676193
32101, 0.473051, 0.621801, 0.315869, 0.472831, 0.107394, 0.461344
32102, 0.146931, 0.592935, 0.356634, 0.662644, 0.107388, 0.682661
32103, 0.409818, 0.736280, 0.323773, 0.847034, 0.107382, 0.826396
32104, 0.956850, 0.643152, 0.255394, 0.698826, 0.107376, 0.721947
32105, 0.075591, 0.643208, 0.365551, 0.405614, 0.107370, 0.379426
32106, 0.233331, 0.883537, 0.345834, 0.852123, 0.107364, 0.822816
32107, 0.023559, 0.558496, 0.372055, 0.767782, 0.107358, 0.774328
32108, 0.714245, 0.790276, 0.285719, 0.919282, 0.107352, 0.859853
32109, 0.289801, 0.772341, 0.338775, 0.476967, 0.107346, 0.493278
32110, 0.423863, 0.692814, 0.322017, 0.764734, 0.000000, 0.775259
32111, 0.400291, 0.722245, 0.324964, 0.681105, 0.107334, 0.696837
32112, 0.097803, 0.885255, 0.362775, 0.611710, 0.107328, 0.626646
32113, 0.104926, 0.845458, 0.361884, 0.853406, 0.107322, 0.822265
32114, 0.191720, 0.713237, 0.351035, 0.872883, 0.107316, 0.841936
32115, 0.980308, 0.695520, 0.252461, 0.821433, 0.107310, 0.813149
32116, 0.037212, 0.650825, 0.370348, 0.389433, 0.107304, 0.362006
32117, 0.638499, 0.643482, 0.295188, 0.898635, 0.107298, 0.850539
32118, 0.979517, 0.738379, 0.252560, 0.544396, 0.107292, 0.556781
32119, 0.936466, 0.532079, 0.257942, 0.424034, 0.107286, 0.403952
32120, 0.185890, 0.547445, 0.351764, 0.441899, 0.000000, 0.426698
32121, 0.149324, 0.603445, 0.356334, 0.808224, 0.107274, 0.799314
32122, 0.634173, 0.747044, 0.295728, 0.844526, 0.107268, 0.823162
32123, 0.197830, 0.646168, 0.350271, 0.578046, 0.107262, 0.592929
32124, 0.220737, 0.876464, 0.347408, 0.766352, 0.107256, 0.771269
32125, 0.667716, 0.736908, 0.291535, 0.801662, 0.107250, 0.795730
32126, 0.539413, 0.536298, 0.307573, 0.562973, 0.107244, 0.573028
32127, 0.711094, 0.515011, 0.286113, 0.613964, 0.107238, 0.632039
32128, 0.723013, 0.590072, 0.284623, 0.545208, 0.107232, 0.562427
32129, 0.186980, 0.439896, 0.351627, 0.512184, 0.107226, 0.518046
32130, 0.332316, 0.715883, 0.333460, 0.824013, 0.000000, 0.814899
32131, 0.618739, 0.796196, 0.297658, 0.713453, 0.107214, 0.722236
32132, 0.612055, 0.587278, 0.298493, 0.590559, 0.107208, 0.606671
32133, 0.127640, 0.466897, 0.359045, 0.565782, 0.107202, 0.578930
32134, 0.015165, 0.510645, 0.373104, 0.787699, 0.107196, 0.773378
32135, 0.707682, 0.696158, 0.286540, 0.923871, 0.107190, 0.861297
32136, 0.318367, 0.631146, 0.335204, 0.541748, 0.107184, 0.545821
32137, 0.049313, 0.749252, 0.368836, 0.738718, 0.107178, 0.743291
32138, 0.834740, 0.697605, 0.270658, 0.904257, 0.107172, 0.852641
32139, 0.163051, 0.363056, 0.354619, 0.435410, 0.107166, 0.429003
32140, 0.780192, 0.695758, 0.277476, 0.838060, 0.000000, 0.819510
32141, 0.404201, 0.570585, 0.324475, 0.512879, 0.107154, 0.518519
32142, 0.246183, 0.634316, 0.344227, 0.701536, 0.107148, 0.718560
32143, 0.168834, 0.409721, 0.353896, 0.660462, 0.107142, 0.660858
32144, 0.046642, 0.719888, 0.369170, 0.834704, 0.107136, 0.819350
32145, 0.600170, 0.824506, 0.299979, 0.896201, 0.107130, 0.843903
32146, 0.186530, 0.463170, 0.351684, 0.568731, 0.107124, 0.584072
32147, 0.165944, 0.855144, 0.354257, 0.786149, 0.107118, 0.779541
32148, 0.185625, 0.710825, 0.351797, 0.836645, 0.107112, 0.820991
32149, 0.514386, 0.556489, 0.310702, 0.789007, 0.107106, 0.788511
32150, 0.221169, 0.605332, 0.347354, 0.643140, 0.000000, 0.662244
32151, 0.358974, 0.555189, 0.330128, 0.771923, 0.107094, 0.775465
32152, 0.941300, 0.609142, 0.257338, 0.722210, 0.107088, 0.732227
32153, 0.138048, 0.583719, 0.357744, 0.433539, 0.107082, 0.406436
32154, 0.667842, 0.649103, 0.291520, 0.845860, 0.107076, 0.819929
32155, 0.704780, 0.537831, 0.286902, 0.563152, 0.107070, 0.568690
32156, 0.432134, 0.628560, 0.320983, 0.543757, 0.107064, 0.548721
32157, 0.695245, 0.654200, 0.288094, 0.686619, 0.107058, 0.710157
32158, 0.200927, 0.400559, 0.349884, 0.501912, 0.107052, 0.511597
32159, 0.686630, 0.642892, 0.289171, 0.810734, 0.107046, 0.798391
32160, 0.974486, 0.561538, 0.253189, 0.556996, 0.000000, 0.565179
32161, 0.792912, 0.570933, 0.275886, 0.420420, 0.107034, 0.389447
32162, 0.827672, 0.879829, 0.271541, 0.328052, 0.107028, 0.313315
32163, 0.113810, 0.343190, 0.360774, 0.424969, 0.107022, 0.411760
32164, 0.936611, 0.731013, 0.257924, 0.867569, 0.107016, 0.838147
32165, 0.377960, 0.301673, 0.327755, 0.367046, 0.107010, 0.339517
32166, 0.419819, 0.729648, 0.322523, 0.706994, 0.107004, 0.717239
32167, 0.398533, 0.564322, 0.325183, 0.682612, 0.106998, 0.696198
32168, 0.042798, 0.723088, 0.369650, 0.696148, 0.106992, 0.707819
32169, 0.383091, 0.708405, 0.327114, 0.909351, 0.106986, 0.855798
32170, 0.750716, 0.638060, 0.281160, 0.712920, 0.000000, 0.728292
32171, 0.452497, 0.534767, 0.318438, 0.525743, 0.106974, 0.524485
32172, 0.562577, 0.798046, 0.304678, 0.632725, 0.106968, 0.651854
32173, 0.510620, 0.607027, 0.311172, 0.618848, 0.106962, 0.639512
32174, 0.677102, 0.491596, 0.290362, 0.617030, 0.106956, 0.636293
32175, 0.756235, 0.596363, 0.280471, 0.561661, 0.106950, 0.578921
32176, 0.022817, 0.624743, 0.372148, 0.517641, 0.106944, 0.515434
32177, 0.908804, 0.756748, 0.261400, 0.923035, 0.106938, 0.864457
32178, 0.289263, 0.380088, 0.338842, 0.421587, 0.106932, 0.400818
