round, random_action, action, bestAction, profit, whitenoise, estimated_profit
250, 0.238041, 0.332240, 0.345245, 0.446537, 0.000000, 0.455064
251, 0.289391, 0.072882, 0.338826, 0.158895, 0.292470, 0.444253
252, 0.223390, 0.238960, 0.347076, 0.444603, 0.292440, 0.447777
253, 0.851279, 0.521023, 0.268590, 0.753123, 0.292410, 0.458517
254, 0.426489, 0.333169, 0.321689, 0.411570, 0.292380, 0.429992
255, 0.297712, 0.157354, 0.337786, 0.296194, 0.292350, 0.419048
256, 0.905821, 0.286425, 0.261772, 0.508270, 0.292320, 0.426390
257, 0.380619, 0.145320, 0.327423, 0.218408, 0.292290, 0.421576
258, 0.656452, 0.319044, 0.292943, 0.526766, 0.292260, 0.427843
259, 0.545894, 0.609075, 0.306763, 0.571210, 0.292230, 0.446180
260, 0.569111, 0.361637, 0.303861, 0.521611, 0.000000, 0.430637
261, 0.365499, 0.168944, 0.329313, 0.294667, 0.292170, 0.419972
262, 0.476024, 0.625711, 0.315497, 0.721173, 0.292140, 0.446861
263, 0.716612, 0.583058, 0.285423, 0.659759, 0.292110, 0.444312
264, 0.983772, 0.570482, 0.252028, 0.543110, 0.292080, 0.443916
265, 0.408844, 0.616064, 0.323895, 0.402546, 0.292050, 0.447374
266, 0.330573, 0.577390, 0.333678, 0.691124, 0.292020, 0.443893
267, 0.398625, 0.705905, 0.325172, 0.739799, 0.291990, 0.451831
268, 0.184680, 0.339283, 0.351915, 0.543647, 0.291960, 0.429110
269, 0.474573, 0.252034, 0.315678, 0.485429, 0.291930, 0.425594
270, 0.795311, 0.361608, 0.275586, 0.543078, 0.000000, 0.430565
271, 0.677082, 0.197998, 0.290365, 0.298432, 0.291870, 0.423156
272, 0.286262, 0.000000, 0.339217, 0.000000, 0.291840, 0.412977
273, 0.352613, 0.270268, 0.330923, 0.489456, 0.291810, 0.425647
274, 0.393599, 0.767262, 0.325800, 0.711548, 0.291780, 0.455689
275, 0.670773, 0.513241, 0.291153, 0.675732, 0.291750, 0.439887
276, 0.280952, 0.034010, 0.339881, 0.064085, 0.291720, 0.414444
277, 0.126468, 0.425784, 0.359192, 0.662619, 0.291690, 0.434348
278, 0.852697, 0.305192, 0.268413, 0.575578, 0.291660, 0.428891
279, 0.196300, 0.331646, 0.350462, 0.410139, 0.291630, 0.429931
280, 0.208527, 0.361603, 0.348934, 0.626927, 0.000000, 0.431227
281, 0.066040, 0.095006, 0.366745, 0.205962, 0.291570, 0.417358
282, 0.357930, 0.879572, 0.330259, 0.861113, 0.291540, 0.462440
283, 0.012110, 0.540829, 0.373486, 0.703264, 0.291510, 0.441567
284, 0.837598, 0.000000, 0.270300, 0.000000, 0.291480, 0.414374
285, 0.983491, 0.079981, 0.252064, 0.133464, 0.291450, 0.417951
286, 0.895559, 0.020606, 0.263055, 0.033920, 0.291420, 0.416350
287, 0.344229, 0.608206, 0.331971, 0.450087, 0.291390, 0.446680
288, 0.036161, 0.000000, 0.370480, 0.000000, 0.291360, 0.413407
289, 0.232391, 0.000000, 0.345951, 0.000000, 0.291330, 0.414301
290, 0.675179, 0.361541, 0.290603, 0.615983, 0.000000, 0.430902
291, 0.146699, 0.295873, 0.356663, 0.427308, 0.291270, 0.426801
292, 0.092645, 0.402484, 0.363419, 0.687018, 0.291240, 0.433813
293, 0.281924, 0.889097, 0.339760, 0.836612, 0.291210, 0.463063
294, 0.913658, 0.626447, 0.260793, 0.764883, 0.291180, 0.446824
295, 0.421651, 0.558889, 0.322294, 0.451100, 0.291150, 0.443651
296, 0.623342, 0.000000, 0.297082, 0.000000, 0.291120, 0.413187
297, 0.774038, 0.711324, 0.278245, 0.565508, 0.291090, 0.452482
298, 0.766831, 0.671062, 0.279146, 0.494258, 0.291060, 0.450318
299, 0.746858, 0.320819, 0.281643, 0.425494, 0.291030, 0.428717
300, 0.388268, 0.361719, 0.326467, 0.461102, 0.000000, 0.431033
301, 0.800493, 0.332236, 0.274938, 0.539125, 0.290970, 0.428665
302, 0.049219, 0.337279, 0.368848, 0.428611, 0.290940, 0.429770
303, 0.424192, 0.233668, 0.321976, 0.483585, 0.290910, 0.425835
304, 0.028985, 0.400718, 0.371377, 0.592519, 0.290880, 0.432936
305, 0.425997, 0.512031, 0.321750, 0.830750, 0.290850, 0.440625
306, 0.348166, 0.195985, 0.331479, 0.356371, 0.290820, 0.420535
307, 0.203262, 0.696602, 0.349592, 0.730637, 0.290790, 0.451268
308, 0.571859, 0.608914, 0.303518, 0.801184, 0.290760, 0.445653
309, 0.000950, 0.462017, 0.374881, 0.579103, 0.290730, 0.436881
310, 0.066181, 0.363785, 0.366727, 0.688608, 0.000000, 0.433079
311, 0.215349, 0.406505, 0.348081, 0.718433, 0.290670, 0.434741
312, 0.608450, 0.282932, 0.298944, 0.523138, 0.290640, 0.426938
313, 0.087091, 0.327756, 0.364114, 0.474164, 0.290610, 0.428616
314, 0.385853, 0.833693, 0.326768, 0.865320, 0.290580, 0.459585
315, 0.484265, 0.306773, 0.314467, 0.511443, 0.290550, 0.427090
316, 0.566183, 0.000000, 0.304227, 0.000000, 0.290520, 0.413009
317, 0.787618, 0.189786, 0.276548, 0.324889, 0.290490, 0.420936
318, 0.168911, 0.694238, 0.353886, 0.476655, 0.290460, 0.451797
319, 0.358702, 0.211604, 0.330162, 0.424598, 0.290430, 0.423623
320, 0.724520, 0.361561, 0.284435, 0.577948, 0.000000, 0.430448
321, 0.939385, 0.698585, 0.257577, 0.511312, 0.290370, 0.451921
322, 0.252449, 0.270450, 0.343444, 0.342506, 0.290340, 0.427748
323, 0.910050, 0.228870, 0.261244, 0.436724, 0.290310, 0.423784
324, 0.934764, 0.727274, 0.258154, 0.385093, 0.290280, 0.453689
325, 0.046951, 0.269098, 0.369131, 0.342436, 0.290250, 0.427646
326, 0.497205, 0.000000, 0.312849, 0.000000, 0.290220, 0.414268
327, 0.997100, 0.837617, 0.250362, 0.577649, 0.290190, 0.460238
328, 0.427896, 0.180063, 0.321513, 0.246502, 0.290160, 0.423955
329, 0.161591, 0.646162, 0.354801, 0.689121, 0.290130, 0.448198
330, 0.711799, 0.361990, 0.286025, 0.637835, 0.000000, 0.431556
331, 0.270672, 0.566864, 0.341166, 0.545358, 0.290070, 0.443679
332, 0.294875, 0.751952, 0.338141, 0.767883, 0.290040, 0.454650
333, 0.060411, 0.226887, 0.367449, 0.425669, 0.290010, 0.423305
334, 0.184923, 1.000000, 0.351885, 0.782991, 0.289980, 0.467267
335, 0.004675, 0.056457, 0.374416, 0.127131, 0.289950, 0.415976
336, 0.367006, 0.543139, 0.329124, 0.864065, 0.289920, 0.442482
337, 0.815571, 0.336216, 0.273054, 0.549310, 0.289890, 0.428890
338, 0.930345, 0.552424, 0.258707, 0.496989, 0.289860, 0.443021
339, 0.228201, 0.261800, 0.346475, 0.337298, 0.289830, 0.427266
340, 0.930580, 0.361544, 0.258677, 0.617249, 0.000000, 0.430940
341, 0.055732, 0.000000, 0.368034, 0.000000, 0.289770, 0.414956
342, 0.917156, 0.499081, 0.260355, 0.809387, 0.289740, 0.439704
343, 0.134765, 0.262620, 0.358154, 0.340882, 0.289710, 0.427197
344, 0.040399, 0.738070, 0.369950, 0.854375, 0.289680, 0.453647
345, 0.489412, 0.278540, 0.313823, 0.557664, 0.289650, 0.428260
346, 0.389553, 0.052211, 0.326306, 0.104690, 0.289620, 0.414892
347, 0.202909, 0.000000, 0.349636, 0.000000, 0.289590, 0.413278
348, 0.627995, 0.555828, 0.296501, 0.780677, 0.289560, 0.442347
349, 0.457040, 0.018521, 0.317870, 0.036039, 0.289530, 0.413410
350, 0.633116, 0.361601, 0.295860, 0.548355, 0.000000, 0.430547
351, 0.144822, 0.504179, 0.356897, 0.570784, 0.289470, 0.439600
352, 0.719155, 0.199314, 0.285106, 0.408020, 0.289440, 0.423194
353, 0.873685, 0.528333, 0.265789, 0.538979, 0.289410, 0.441300
354, 0.555970, 0.284572, 0.305504, 0.369273, 0.289380, 0.427878
355, 0.169157, 0.024635, 0.353855, 0.049162, 0.289350, 0.413701
356, 0.815962, 0.000000, 0.273005, 0.000000, 0.289320, 0.413904
357, 0.383886, 0.486946, 0.327014, 0.491063, 0.289290, 0.438952
358, 0.590164, 0.441777, 0.301229, 0.637838, 0.289260, 0.435441
359, 0.506752, 0.250899, 0.311656, 0.398937, 0.289230, 0.423985
360, 0.816774, 0.361621, 0.272903, 0.533393, 0.000000, 0.430597
361, 0.515947, 0.000000, 0.310507, 0.000000, 0.289170, 0.414034
362, 0.705007, 0.405126, 0.286874, 0.565084, 0.289140, 0.433299
363, 0.979552, 0.416864, 0.252556, 0.507624, 0.289110, 0.434349
